name,family,category,is_body,is_serif,is_italic,weight
IBM Plex Sans Condensed 700 Italic,IBM Plex Sans Condensed,sans-serif,1,0,1,bold
IBM Plex Serif 100,IBM Plex Serif,serif,1,1,0,thin
IBM Plex Serif 100 Italic,IBM Plex Serif,serif,1,1,1,thin
IBM Plex Serif 200,IBM Plex Serif,serif,1,1,1,extralight
IBM Plex Serif 200 Italic,IBM Plex Serif,serif,1,1,1,extralight
IBM Plex Serif 300,IBM Plex Serif,serif,1,1,1,light
IBM Plex Serif 300 Italic,IBM Plex Serif,serif,1,1,1,light
IBM Plex Serif 400,IBM Plex Serif,serif,1,1,1,regular
IBM Plex Serif 400 Italic,IBM Plex Serif,serif,1,1,1,regular
IBM Plex Serif 500,IBM Plex Serif,serif,1,1,1,medium
IBM Plex Serif 500 Italic,IBM Plex Serif,serif,1,1,1,medium
IBM Plex Serif 600,IBM Plex Serif,serif,1,1,1,semibold
