name,family,category,is_body,is_serif,is_italic,weight
Exo 500,Exo,sans-serif,1,0,1,medium
Exo 500 Italic,Exo,sans-serif,1,0,1,medium
Exo 600,Exo,sans-serif,1,0,1,semibold
Exo 600 Italic,Exo,sans-serif,1,0,1,semibold
Exo 700,Exo,sans-serif,1,0,1,bold
Exo 700 Italic,Exo,sans-serif,1,0,1,bold
Exo 800,Exo,sans-serif,1,0,1,extrabold
Exo 800 Italic,Exo,sans-serif,1,0,1,extrabold
Exo 900,Exo,sans-serif,1,0,1,black
Exo 900 Italic,Exo,sans-serif,1,0,1,black
Exo 2 100,Exo 2,sans-serif,1,0,0,thin
Exo 2 100 Italic,Exo 2,sans-serif,1,0,1,thin
Exo 2 200,Exo 2,sans-serif,1,0,1,extralight
Exo 2 200 Italic,Exo 2,sans-serif,1,0,1,extralight
Exo 2 300,Exo 2,sans-serif,1,0,1,light
Exo 2 300 Italic,Exo 2,sans-serif,1,0,1,light
Exo 2 400,Exo 2,sans-serif,1,0,1,regular
Exo 2 400 Italic,Exo 2,sans-serif,1,0,1,regular
Exo 2 500,Exo 2,sans-serif,1,0,1,medium
Exo 2 500 Italic,Exo 2,sans-serif,1,0,1,medium
Exo 2 600,Exo 2,sans-serif,1,0,1,semibold
Exo 2 600 Italic,Exo 2,sans-serif,1,0,1,semibold
Exo 2 700,Exo 2,sans-serif,1,0,1,bold
Exo 2 700 Italic,Exo 2,sans-serif,1,0,1,bold
Exo 2 800,Exo 2,sans-serif,1,0,1,extrabold
Exo 2 800 Italic,Exo 2,sans-serif,1,0,1,extrabold
Exo 2 900,Exo 2,sans-serif,1,0,1,black
Exo 2 900 Italic,Exo 2,sans-serif,1,0,1,black
Expletus Sans 400,Expletus Sans,display,0,0,0,regular
Expletus Sans 400 Italic,Expletus Sans,display,0,0,1,regular
Expletus Sans 500,Expletus Sans,display,0,0,1,medium
Expletus Sans 500 Italic,Expletus Sans,display,0,0,1,medium
Expletus Sans 600,Expletus Sans,display,0,0,1,semibold
Expletus Sans 600 Italic,Expletus Sans,display,0,0,1,semibold
Expletus Sans 700,Expletus Sans,display,0,0,1,bold
Expletus Sans 700 Italic,Expletus Sans,display,0,0,1,bold
Fahkwang 200,Fahkwang,sans-serif,1,0,0,extralight
Fahkwang 200 Italic,Fahkwang,sans-serif,1,0,1,extralight
Fahkwang 300,Fahkwang,sans-serif,1,0,1,light
Fahkwang 300 Italic,Fahkwang,sans-serif,1,0,1,light
Fahkwang 400,Fahkwang,sans-serif,1,0,1,regular
Fahkwang 400 Italic,Fahkwang,sans-serif,1,0,1,regular
Fahkwang 500,Fahkwang,sans-serif,1,0,1,medium
Fahkwang 500 Italic,Fahkwang,sans-serif,1,0,1,medium
Fahkwang 600,Fahkwang,sans-serif,1,0,1,semibold
Fahkwang 600 Italic,Fahkwang,sans-serif,1,0,1,semibold
Fahkwang 700,Fahkwang,sans-serif,1,0,1,bold
Fahkwang 700 Italic,Fahkwang,sans-serif,1,0,1,bold
Fanwood Text 400,Fanwood Text,serif,1,1,0,regular
Fanwood Text 400 Italic,Fanwood Text,serif,1,1,1,regular
Farro 300,Farro,sans-serif,1,0,0,light
Farro 400,Farro,sans-serif,1,0,0,regular
Farro 500,Farro,sans-serif,1,0,0,medium
Farro 700,Farro,sans-serif,1,0,0,bold
Farsan,Farsan,display,0,0,0,regular
Fascinate,Fascinate,display,0,1,0,regular
Fascinate Inline,Fascinate Inline,display,0,1,0,regular
Faster One,Faster One,display,0,0,0,regular
Fauna One,Fauna One,serif,1,1,0,regular
Faustina 400,Faustina,serif,1,1,0,regular
