family,category,is_body,is_serif,is_italic,weight,url,idx
Arimo,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Arimo,158
Prompt,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Prompt,2059
Livvic,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Livvic,1435
Prompt,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Prompt,2058
IBM Plex Sans Condensed,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/IBM+Plex+Sans+Condensed,1125
