name,family,category,is_body,is_serif,is_italic,weight,glyphs,
Ruluko,Ruluko,sans-serif,1,0,0,400,*,
Rum Raisin,Rum Raisin,sans-serif,1,0,0,400,*,
Ruslan Display,Ruslan Display,display,0,1,0,400,*,
Russo One,Russo One,sans-serif,1,0,0,400,*,
Ruthie,Ruthie,script,1,0,0,400,,
Rye,Rye,western,0,1,0,400,,
Sacramento,Sacramento,handwriting,1,0,0,400,*,
Sahitya Bold,Sahitya,serif,1,1,0,700,*,
Sahitya Regular,Sahitya,serif,1,1,0,400,*,
Sail,Sail,script,0,1,0,400,,
Saira Black,Saira,modern,1,0,0,900,,
Saira Bold,Saira,modern,1,0,0,700,,
Saira Extra Bold,Saira,modern,1,0,0,800,,
Saira Extra Light,Saira,modern,1,0,0,200,,
Saira Light,Saira,modern,1,0,0,300,,
Saira Medium,Saira,modern,1,0,0,500,,
Saira Regular,Saira,modern,1,0,0,400,,
Saira Semi Bold,Saira,modern,1,0,0,600,,
Saira Thin,Saira,modern,1,0,0,100,,
Saira Condensed Black,Saira Condensed,modern,1,0,0,900,,
Saira Condensed Bold,Saira Condensed,modern,1,0,0,700,,
Saira Condensed Extra Bold,Saira Condensed,modern,1,0,0,800,,
Saira Condensed Extra Light,Saira Condensed,modern,1,0,0,200,,
Saira Condensed Light,Saira Condensed,modern,1,0,0,300,,
Saira Condensed Medium,Saira Condensed,modern,1,0,0,500,,
Saira Condensed Regular,Saira Condensed,modern,1,0,0,400,,
Saira Condensed Semi Bold,Saira Condensed,modern,1,0,0,600,,
Saira Condensed Thin,Saira Condensed,modern,1,0,0,100,,
Saira Extra Condensed Black,Saira Extra Condensed,modern,1,0,0,900,,
Saira Extra Condensed Bold,Saira Extra Condensed,modern,1,0,0,700,,
Saira Extra Condensed Extra Bold,Saira Extra Condensed,modern,1,0,0,800,,
Saira Extra Condensed Extra Light,Saira Extra Condensed,modern,1,0,0,200,,
Saira Extra Condensed Light,Saira Extra Condensed,modern,1,0,0,300,,
Saira Extra Condensed Medium,Saira Extra Condensed,modern,1,0,0,500,,
Saira Extra Condensed Regular,Saira Extra Condensed,modern,1,0,0,400,,
Saira Extra Condensed Semi Bold,Saira Extra Condensed,modern,1,0,0,600,,
Saira Extra Condensed Thin,Saira Extra Condensed,modern,1,0,0,100,,
Saira Semi Condensed Black,Saira Semi Condensed,modern,1,0,0,900,,
Saira Semi Condensed Bold,Saira Semi Condensed,modern,1,0,0,700,,
Saira Semi Condensed Extra Bold,Saira Semi Condensed,modern,1,0,0,800,,
Saira Semi Condensed Extra Light,Saira Semi Condensed,modern,1,0,0,200,,
Saira Semi Condensed Light,Saira Semi Condensed,modern,1,0,0,300,,
Saira Semi Condensed Medium,Saira Semi Condensed,modern,1,0,0,500,,
Saira Semi Condensed Regular,Saira Semi Condensed,modern,1,0,0,400,,
Saira Semi Condensed Semi Bold,Saira Semi Condensed,modern,1,0,0,600,,
Saira Semi Condensed Thin,Saira Semi Condensed,modern,1,0,0,100,,
Saira Stencil One,Saira Stencil One,display,0,0,0,400,,
Salsa,Salsa,retro,0,1,0,400,,
Sanchez Regular,Sanchez,slab serif,1,1,0,400,,
Sanchez Regular Italic,Sanchez,slab serif,1,1,1,400,,
Sancreek,Sancreek,display,0,1,0,400,*,
Sansita Black,Sansita,elegant,1,0,1,900,,
Sansita Black Italic,Sansita,elegant,1,0,1,900,,
Sansita Bold,Sansita,elegant,1,0,1,700,,
Sansita Bold Italic,Sansita,elegant,1,0,1,700,,
Sansita Extra Bold,Sansita,elegant,1,0,1,800,,
Sansita Extra Bold Italic,Sansita,elegant,1,0,1,800,,
Sansita Regular,Sansita,elegant,1,0,0,400,,
Sansita Regular Italic,Sansita,elegant,1,0,1,400,,
Sarabun Bold,Sarabun,sans-serif,1,0,1,700,*,
Sarabun Bold Italic,Sarabun,sans-serif,1,0,1,700,*,
