family,category,is_body,is_serif,is_italic,weight,url,idx
Archivo,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Archivo,131
Arimo,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Arimo,158
Alegreya Sans,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Alegreya+Sans,51
Amaranth,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Amaranth,98
Alegreya Sans,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Alegreya+Sans,50
