family,category,is_body,is_serif,is_italic,weight,url,idx
Exo 2,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Exo+2,815
Exo,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Exo,798
Quattrocento Sans,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Quattrocento+Sans,2094
Lato,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Lato,1364
Lato,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Lato,1363
