family,category,is_body,is_serif,is_italic,weight,url,idx
Kanit,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Kanit,1258
Roboto Condensed,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Roboto+Condensed,2189
Fira Sans Condensed,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Fira+Sans+Condensed,904
Fira Sans Condensed,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Fira+Sans+Condensed,903
Kanit,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Kanit,1257
