family,category,is_body,is_serif,is_italic,weight,url,idx
Exo 2,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Exo+2,815
Chau Philomene One,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Chau+Philomene+One,515
Karla,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Karla,1270
Thasadith,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Thasadith,2527
Red Hat Text,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Red+Hat+Text,2160
