name,category,url
Allerta Stencil,Sans-Serif,http://fonts.google.com/specimen/Allerta+Stencil
Allura,Handwriting,http://fonts.google.com/specimen/Allura
Almendra,Serif,http://fonts.google.com/specimen/Almendra
Almendra,Serif,http://fonts.google.com/specimen/Almendra
Almendra,Serif,http://fonts.google.com/specimen/Almendra
Almendra,Serif,http://fonts.google.com/specimen/Almendra
Almendra Display,Display,http://fonts.google.com/specimen/Almendra+Display
Almendra SC,Serif,http://fonts.google.com/specimen/Almendra+SC
Amarante,Display,http://fonts.google.com/specimen/Amarante
Amaranth,Sans-Serif,http://fonts.google.com/specimen/Amaranth
Amaranth,Sans-Serif,http://fonts.google.com/specimen/Amaranth
Amaranth,Sans-Serif,http://fonts.google.com/specimen/Amaranth
Amaranth,Sans-Serif,http://fonts.google.com/specimen/Amaranth
Amatic SC,Handwriting,http://fonts.google.com/specimen/Amatic+SC
Amatic SC,Handwriting,http://fonts.google.com/specimen/Amatic+SC
Amethysta,Serif,http://fonts.google.com/specimen/Amethysta
Amiko,Sans-Serif,http://fonts.google.com/specimen/Amiko
Amiko,Sans-Serif,http://fonts.google.com/specimen/Amiko
Amiko,Sans-Serif,http://fonts.google.com/specimen/Amiko
Amiri,Serif,http://fonts.google.com/specimen/Amiri
Amiri,Serif,http://fonts.google.com/specimen/Amiri
Amiri,Serif,http://fonts.google.com/specimen/Amiri
Amiri,Serif,http://fonts.google.com/specimen/Amiri
Amita,Handwriting,http://fonts.google.com/specimen/Amita
Amita,Handwriting,http://fonts.google.com/specimen/Amita
Anaheim,Sans-Serif,http://fonts.google.com/specimen/Anaheim
Andada,Serif,http://fonts.google.com/specimen/Andada
Andika,Sans-Serif,http://fonts.google.com/specimen/Andika
Annie Use Your Telescope,Handwriting,http://fonts.google.com/specimen/Annie+Use+Your+Telescope
Anonymous Pro,Monospace,http://fonts.google.com/specimen/Anonymous+Pro
Anonymous Pro,Monospace,http://fonts.google.com/specimen/Anonymous+Pro
Anonymous Pro,Monospace,http://fonts.google.com/specimen/Anonymous+Pro
Anonymous Pro,Monospace,http://fonts.google.com/specimen/Anonymous+Pro
Antic,Sans-Serif,http://fonts.google.com/specimen/Antic
Antic Didone,Serif,http://fonts.google.com/specimen/Antic+Didone
Antic Slab,Serif,http://fonts.google.com/specimen/Antic+Slab
Anton,Sans-Serif,http://fonts.google.com/specimen/Anton
Arapey,Serif,http://fonts.google.com/specimen/Arapey
Arapey,Serif,http://fonts.google.com/specimen/Arapey
Arbutus,Display,http://fonts.google.com/specimen/Arbutus
Arbutus Slab,Serif,http://fonts.google.com/specimen/Arbutus+Slab
Architects Daughter,Handwriting,http://fonts.google.com/specimen/Architects+Daughter
Archivo,Sans-Serif,http://fonts.google.com/specimen/Archivo
Archivo,Sans-Serif,http://fonts.google.com/specimen/Archivo
Archivo,Sans-Serif,http://fonts.google.com/specimen/Archivo
Archivo,Sans-Serif,http://fonts.google.com/specimen/Archivo
Archivo,Sans-Serif,http://fonts.google.com/specimen/Archivo
